measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half
0.3,cs_only_fista,0.6018913055145657,0.0,0.0,0.4811594411788,0.0,0.8551514798525943,0.0,0.09109432252169697,0.0,1,100,0.0
0.3,cs_only_spgl1,0.7026935065400841,0.0,0.0,0.5628180231977495,0.0,0.9985155801509571,0.0,0.029642857142819425,0.0,1,100,0.0
0.3,hybrid_fista,0.3846757112982517,0.0,0.0,0.30702845378494126,0.0,0.5463136584309535,0.0,0.09462926963708092,0.0,1,100,0.0
0.3,hybrid_lfista_frozen,0.375365874227889,0.0,0.0,0.3000154835636284,0.0,0.5335588700155676,0.0,0.08978979131272162,0.0,1,100,0.0
0.3,hybrid_lfista_joint,0.37515039193557664,0.0,0.0,0.2998239278288357,0.0,0.5332537502291177,0.0,0.08994720947387562,0.0,1,100,0.0
0.3,hybrid_spgl1,0.4406482507557733,0.0,0.0,0.3488246211366011,0.0,0.6259979007210723,0.0,0.08115079365068929,0.0,1,100,0.0
0.3,ml_only,0.4416907667682915,0.0,0.0,0.34945977037963977,0.0,0.6274936297796571,0.0,,0.0,1,100,0.0
0.3,ml_only_torch,0.4441171833679498,0.0,0.0,0.3530125405905028,0.0,0.6311624218897358,0.0,,0.0,1,100,0.0
0.5,cs_only_fista,0.5229736169910253,0.0,0.0,0.41804221596199476,0.0,0.7431946743718708,0.0,0.09105792968699035,0.0,1,100,0.0
0.5,cs_only_spgl1,0.7025178273266133,0.0,0.0,0.5627538827366199,0.0,0.9982500986780555,0.0,0.04222222222217156,0.0,1,100,0.0
0.5,hybrid_fista,0.3303464935006841,0.0,0.0,0.26399086083346596,0.0,0.4692030723885292,0.0,0.09417295206001094,0.0,1,100,0.0
0.5,hybrid_lfista_frozen,0.3261698263889862,0.0,0.0,0.26042246248042206,0.0,0.46355291750333977,0.0,0.08985617911639535,0.0,1,100,0.0
0.5,hybrid_lfista_joint,0.3252910374098974,0.0,0.0,0.2597252445778429,0.0,0.4623004478482306,0.0,0.08974308693722133,0.0,1,100,0.0
0.5,hybrid_spgl1,0.44046046617354245,0.0,0.0,0.3487575726247675,0.0,0.6257282574334191,0.0,0.09230158730146933,0.0,1,100,0.0
0.5,ml_only,0.4416907667682915,0.0,0.0,0.34945977037963977,0.0,0.6274936297796571,0.0,,0.0,1,100,0.0
0.5,ml_only_torch,0.4451048323305371,0.0,0.0,0.35321803328393614,0.0,0.6325548694411998,0.0,,0.0,1,100,0.0
