measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half
0.05,ae_regression_ub,0.014086710969347403,0.00018263837771200216,0.000105446316536381,0.011421895901528875,0.00011925729947326009,0.18531568545562482,0.003448784943952715,,,3,385,0.00020667478041130677
0.05,hybrid_lfista_joint,0.059888579208785486,0.0007651463886727808,0.0004417574734697,0.0471621367326864,0.0006806731682783282,0.8335360888106519,0.008565104120854471,0.5580074181867114,0.04578611970722581,3,385,0.000865844648000612
0.05,ml_only,0.017167926049687563,0.00032816244696947994,0.00018946467709575555,0.013798013390398845,0.0002613669422375034,0.2294784880089471,0.0061311834848896745,,,3,385,0.00037135076710768087
0.05,mlp_concat_ub,0.07487316114861735,0.006421595900203495,0.003707510121609485,0.061259660536995254,0.005089127372051524,0.9692061043595102,0.09807425632810512,,,3,385,0.00726671983835459
0.05,pca_regression_ub,0.07989223510827397,0.01079967270619235,0.006235193944080007,0.06462621661645174,0.00905447814469479,1.1023914977110292,0.18294292401091347,,,3,385,0.012220980130396812
0.1,ae_regression_ub,0.014103691076842348,0.00037608175843226063,0.0002171309044681735,0.011501571927613303,0.00033037485141252927,0.1856020280554479,0.007667862633042449,,,3,385,0.0004255765727576201
0.1,hybrid_lfista_joint,0.06014016594386531,0.00044237955479468037,0.00025540795504469554,0.04684250212114229,0.0003923781862263602,0.8362040621777425,0.004953458808659865,0.707557692053137,0.022685582276807274,3,385,0.0005005995918876033
0.1,ml_only,0.017167926049687563,0.00032816244696947994,0.00018946467709575555,0.013798013390398845,0.0002613669422375034,0.2294784880089471,0.0061311834848896745,,,3,385,0.00037135076710768087
0.1,mlp_concat_ub,0.07766055962062629,0.01227482249288334,0.00708687207052107,0.06350500714886735,0.009559420476323783,1.0131201231144424,0.18614930119422665,,,3,385,0.013890269258221297
0.1,pca_regression_ub,0.08495292915083984,0.008118512138448573,0.004687225168552528,0.06898031330315278,0.007104020346461241,1.1639141866411424,0.14006616686767512,,,3,385,0.009186961330362956
0.15,ae_regression_ub,0.013990343632481738,0.00042225084992861386,0.0002437866418718335,0.011350228391407384,0.0003881288006557533,0.18546544600971263,0.006250724379220041,,,3,385,0.00047782181806879366
0.15,hybrid_lfista_joint,0.058935125393496234,0.001141293976067059,0.0006589263843068149,0.044910358262757265,0.0009811717958755875,0.8187593769735212,0.01479649788444124,0.7670815483137758,0.017277240296432187,3,385,0.0012914957132413572
0.15,ml_only,0.017167926049687563,0.00032816244696947994,0.00018946467709575555,0.013798013390398845,0.0002613669422375034,0.2294784880089471,0.0061311834848896745,,,3,385,0.00037135076710768087
0.15,mlp_concat_ub,0.07934122736132447,0.00742077229710906,0.004284384883330833,0.06475305460485543,0.005907755308159953,1.0191369264782943,0.12196455432593346,,,3,385,0.008397394371328434
0.15,pca_regression_ub,0.07550080763999954,0.014246564232701254,0.008225257694777364,0.06125618488672168,0.012240498795907275,1.0173267896758122,0.24145979220689232,,,3,385,0.016121505081763632
0.2,ae_regression_ub,0.013872092366188858,0.0008174260273577264,0.00047194113693758977,0.01126925796464909,0.0006491531772340796,0.18346004010612885,0.014078890463007311,,,3,385,0.0009250046283976759
0.2,hybrid_lfista_joint,0.057875407304584285,0.0007453204531019318,0.0004303109642309342,0.04332642522962827,0.0006125063983185723,0.8040795988549254,0.010941539771323934,0.8093830100067807,0.0333976188357291,3,385,0.000843409489892631
0.2,ml_only,0.017167926049687563,0.00032816244696947994,0.00018946467709575555,0.013798013390398845,0.0002613669422375034,0.2294784880089471,0.0061311834848896745,,,3,385,0.00037135076710768087
0.2,mlp_concat_ub,0.08463773431112487,0.004433986912380305,0.002559963537446047,0.06890248113165968,0.0035046252892609897,1.1234326904233864,0.06585812325942497,,,3,385,0.005017528533394252
0.2,pca_regression_ub,0.07587287378802288,0.00810931024859163,0.004681912454966569,0.061273049303614165,0.006540827566999101,1.0307176321567932,0.09754762110913971,,,3,385,0.009176548411734474
0.3,ae_regression_ub,0.013728902764155039,0.0005130281603749185,0.00029619694649431774,0.011153046440730756,0.0004228489093425225,0.1805692830271991,0.005808308196500066,,,3,385,0.0005805460151288627
0.3,hybrid_lfista_joint,0.05460829675619897,0.0008180169316677344,0.00047228229570003816,0.039454097500674766,0.0005290640785035801,0.7582777321838973,0.011416005360817551,0.8723540601899383,0.003693114508384109,3,385,0.0009256732995720747
0.3,ml_only,0.017167926049687563,0.00032816244696947994,0.00018946467709575555,0.013798013390398845,0.0002613669422375034,0.2294784880089471,0.0061311834848896745,,,3,385,0.00037135076710768087
0.3,mlp_concat_ub,0.08453416479407812,0.004839670706803334,0.002794185185362051,0.06870264088448903,0.003802251444074645,1.112563486811932,0.05448337163438881,,,3,385,0.00547660296330962
0.3,pca_regression_ub,0.07644537226591902,0.00708056360289037,0.004087965302143022,0.06151544051840121,0.005848146324189148,1.0289553054985177,0.08915160750235648,,,3,385,0.008012411992200324
