measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half
0.1,ae_regression_ub,0.013763749989461452,0.0,0.0,0.011216078575653975,0.0,0.17806960501488756,0.0,,0.0,1,385,0.0
0.1,hybrid_lfista_joint,0.07097110445074015,0.0,0.0,0.05606672572010752,0.0,1.062362676433073,0.0,0.4602939961909185,0.0,1,385,0.0
0.1,ml_only,0.01713549113063941,0.0,0.0,0.013752540513623205,0.0,0.22875679533845683,0.0,,0.0,1,385,0.0
0.1,mlp_concat_ub,0.08494697730726535,0.0,0.0,0.06879805716224707,0.0,1.1261582962659682,0.0,,0.0,1,385,0.0
0.1,pca_regression_ub,0.09267857107440515,0.0,0.0,0.07599186240496063,0.0,1.3022408209291265,0.0,,0.0,1,385,0.0
0.2,ae_regression_ub,0.013380502551316292,0.0,0.0,0.010871586750088418,0.0,0.17448209480656102,0.0,,0.0,1,385,0.0
0.2,hybrid_lfista_joint,0.067777647295429,0.0,0.0,0.05115639516558554,0.0,1.0189234196883152,0.0,0.5280493298791018,0.0,1,385,0.0
0.2,ml_only,0.01713549113063941,0.0,0.0,0.013752540513623205,0.0,0.22875679533845683,0.0,,0.0,1,385,0.0
0.2,mlp_concat_ub,0.08631706420863218,0.0,0.0,0.07021061691310826,0.0,1.1639349003712827,0.0,,0.0,1,385,0.0
0.2,pca_regression_ub,0.08341766865665819,0.0,0.0,0.06750071135848608,0.0,1.115743100368183,0.0,,0.0,1,385,0.0
